"keyEnglish","keyLexeme","strMeaning","strBefore","strAfter","strComment","keyCommentPos","keyCommentFace","keyBeforeFace","keyAfterFace","keyVerbalMode","keyNumber","keyGender","keyForm"
35,21,"Augustus",,,,0,0,0,0,0,0,0,0
36,22,"land","parcel of",,,0,0,0,0,0,0,0,0
37,22,"field",,,,0,0,0,0,0,0,0,0
38,22,"farms",,,,0,0,0,0,0,2,0,0
39,23,"water-pot",,,,0,0,0,0,0,0,0,0
40,23,"pitcher",,,,0,0,0,0,0,0,0,0
41,24,"servant","hired",,,0,0,0,0,0,0,0,0
42,24,"hireling",,,,0,0,0,0,0,0,0,0
43,25,"hire",,,,0,0,0,0,0,0,0,0
44,26,"pay",,,,0,0,0,0,0,0,0,0
45,26,"reward",,,,0,0,0,0,0,0,0,0
46,26,"recompense",,,,0,0,0,0,0,0,0,0
47,27,"roof",,,,0,0,0,0,0,0,0,0
48,27,"housetop",,,,0,0,0,0,0,0,0,0
49,28,"Agrippa",,,,0,0,0,0,0,0,0,0
50,29,"letter",,,,0,0,0,0,0,0,0,0
51,29,"epistle",,,,0,0,0,0,0,0,0,0
52,30,"Idumaea",,,,0,0,0,0,0,0,0,0
53,31,"Addi",,,,0,0,0,0,0,0,0,0
54,32,"Adam",,,,0,0,0,0,0,0,0,0
55,33,"ear",,,,0,0,0,0,0,0,0,0
56,34,"threshing-floor",,,,0,0,0,0,0,0,0,0
57,35,"Adramyttium",,,,0,0,0,0,0,0,0,0
58,36,"profit",,,,0,0,0,0,0,0,0,0
59,36,"fruit",,,,0,0,0,0,0,0,0,0
60,,"result",,,,0,0,0,0,0,0,0,0
61,37,"Aaron",,,,0,0,0,0,0,0,0,0
62,38,"O!",,,,0,0,0,0,0,0,0,0
63,38,"Oh!",,,,0,0,0,0,0,0,0,0
64,39,"or",,,,0,0,0,0,0,0,0,0
65,39,"else",,,,0,0,0,0,0,0,0,0
66,39,"rather than",,,,0,0,0,0,0,0,0,0
67,40,"agree",,,,0,0,0,0,0,0,0,4
68,40,"reconciled","be",,,0,0,0,0,0,0,0,4
69,41,"unity",,,,0,0,0,0,0,0,0,0
70,41,"agreement",,,,0,0,0,0,0,0,0,0
71,42,"abode",,,,0,0,0,0,0,0,0,0
72,42,"habitation",,"(mansio)",,0,0,0,0,0,0,0,0
73,43,"Eubulus",,,,0,0,0,0,0,0,0,0
74,44,"Euodia",,,,0,0,0,0,0,0,0,0
75,45,"Eutychus",,,,0,0,0,0,0,0,0,0
76,46,"Eucharist",,,,0,0,0,0,0,0,0,0
77,47,"craftsman",,,,0,0,0,0,0,0,0,0
78,47,"artificer",,,,0,0,0,0,0,0,0,0
79,47,"builder",,,,0,0,0,0,0,0,0,0
80,48,"craft",,,,0,0,0,0,0,0,0,0
81,48,"art",,,,0,0,0,0,0,0,0,0
82,48,"ingenuity",,,,0,0,0,0,0,0,0,0
83,49,"Oh!",,,,0,0,0,0,0,0,0,0
84,49,"Ah!",,,,0,0,0,0,0,0,0,0
85,50,"Gospel",,,,0,0,0,0,0,0,0,0
86,51,"Eunice",,,,0,0,0,0,0,0,0,0
87,52,"store-house",,,,0,0,0,0,0,0,0,0
88,52,"barn",,,,0,0,0,0,0,0,0,0
89,52,"repository",,,,0,0,0,0,0,0,0,0
90,53,"anchor",,,,0,0,0,0,0,0,0,0
91,54,"Urbanus",,,,0,0,0,0,0,0,0,0
92,55,"frog",,,,0,0,0,0,0,0,0,0
93,56,"Euros",,,,0,0,0,0,0,0,0,0
94,56,"wind","East",,,0,0,0,0,0,0,0,0
95,57,"Euraquilo",,,,0,0,0,0,0,0,0,0
96,57,"wind","Northeast",,,0,0,0,0,0,0,0,0
97,58,"way",,,,0,0,0,0,0,0,0,0
98,58,"road",,,,0,0,0,0,0,0,0,0
99,58,"highway",,,,0,0,0,0,0,0,0,0
100,58,"journeying",,,,0,0,0,0,0,0,0,0
101,59,"Uriah",,,,0,0,0,0,0,0,0,0
102,60,"stall",,,,0,0,0,0,0,0,0,0
103,60,"manger",,,,0,0,0,0,0,0,0,0
104,61,"Law","the",,,0,0,0,0,0,0,0,0
105,62,"Jerusalem",,,,0,0,0,0,0,0,0,0
106,63,"Hosanna",,,,0,0,0,0,0,0,0,0
107,64,"Azotus",,,,0,0,0,0,0,0,0,0
108,,"Ashdod",,,,0,0,0,0,0,0,0,0
109,65,"depart",,,,0,0,0,0,0,0,0,0
110,65,"go",,,,0,0,0,0,0,0,0,0
111,66,"brother",,,,0,0,0,0,0,0,0,0
