"keyLexeme","keyRoot","strLexeme","keySeyame","keyAttrType","keyAttrCategory","keyAttrListing","keyMorphSuffix1","keyMorphSuffix2","keyMorphSuffix3","keyMorphPrefix","keyMorphVowel1","keyMorphVowel2","keyMorphVowel3","keyMorphVowel4","intMorphVowels","keyMorphRadicalType","keyMorphForm"
97,78,"A;XA",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
98,79,"A;XNON",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
99,80,"A;ROIOL;S",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
100,81,"A;R;KO",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
101,82,"A;W;",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
102,83,"A;T",0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
103,83,"A;TOTA",0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
104,84,"ACA;A",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
105,85,"ACA;XOS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
106,86,"ACDNA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
107,87,"ACOT",0,0,9,0,0,0,1,0,0,0,0,0,0,0,0
108,87,"ACZNA",0,0,9,0,0,0,0,0,0,0,0,0,0,6,0
109,87,"ACKDA",0,0,9,0,0,0,0,0,0,0,0,0,0,6,0
110,88,"AC;N",0,0,6,0,0,0,0,0,0,0,0,0,0,6,0
111,89,"ACOLA",0,0,8,0,0,0,0,0,2,5,0,0,2,2,1
112,89,"ACL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,89,"ACL-XR/A",0,0,4,0,0,0,0,0,0,0,0,0,0,6,1
114,259,"BK;RA",0,0,1,0,4,0,0,0,0,4,0,0,1,2,1
115,89,"ACLA",0,0,4,0,0,0,0,0,2,0,0,0,1,2,1
116,89,"MACOLTA",1,0,4,0,1,0,0,1,3,5,0,0,2,2,1
117,89,"MACL-XR/A",0,0,10,0,0,0,0,1,0,0,0,0,0,6,1
118,89,"MACLA",0,0,4,0,0,0,0,1,3,0,0,0,1,2,1
119,90,"ACLOS",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
120,91,"AOCMA",0,0,8,0,0,0,0,0,5,2,0,0,2,2,3
121,91,"ACM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,92,"ACSN;A",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
123,93,"AC;IA;T",0,0,11,0,0,0,2,0,1,4,0,0,2,2,1
124,93,"ACI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,94,"ACRA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
126,95,"ACTA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
127,96,"ALA",0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
128,97,"ALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,97,"AL;A",0,0,4,0,0,0,0,0,3,0,0,0,1,2,1
130,98,"ALHA",0,0,4,0,0,0,0,0,1,2,0,0,2,2,0
131,98,"ALHOTA",0,0,4,0,0,0,1,0,1,2,0,0,2,2,0
132,98,"ALH;A",0,0,8,0,2,0,0,0,1,2,0,0,2,2,0
133,98,"ALHTA",0,0,4,0,2,0,0,0,1,2,0,0,2,2,0
134,99,"ALO",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
135,100,"ALOMOS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
136,101,"ALOMIA",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
137,102,"ALOR;XON",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
138,103,"AL;A",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
139,104,"AL;OD",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
140,105,"AL;EZR",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
141,106,"AL;EZR",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
142,107,"AL;X;M",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
143,108,"AL;WBE",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
144,109,"AL;WE",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
145,110,"ALCSNDROS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
146,111,"ALCSNDR;A",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
147,111,"ALCSNDR;A",0,0,12,0,2,0,0,0,0,0,0,0,0,0,0
148,112,"ALMODD",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
149,113,"ALN;A",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
150,114,"ALI",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
151,115,"ALIA",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
152,116,"ALIA",0,0,4,0,0,0,0,0,3,0,0,0,1,2,0
153,116,"ALIRA",0,0,4,0,10,0,0,0,3,0,0,0,1,2,0
154,117,"AOL/NA",0,0,4,0,4,0,0,0,5,0,0,0,1,2,1
155,117,"ALO/A",0,0,4,0,0,0,0,0,2,5,0,0,2,2,1
156,117,"AL;/A",0,0,1,0,0,0,0,0,1,4,0,0,2,2,1
157,117,"AL/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,118,"AOMTA",1,0,4,0,1,0,0,0,5,0,0,0,1,1,0
159,118,"AMA",0,0,4,0,0,0,0,0,3,0,0,0,1,1,0
160,119,"AMON",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
161,120,"AMOTSS",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
162,121,"AM;N",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
163,122,"AM;NA",0,0,8,0,0,0,0,0,1,4,0,0,2,2,1
164,122,"AM;NA;T",0,0,11,0,0,0,2,0,1,4,0,0,2,2,1
165,2034,"H;MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2034,"H;MNOTA",0,0,4,0,0,0,1,0,1,0,2,0,2,2,11
167,2034,"MH;MNA",0,0,4,0,0,0,0,1,1,0,0,0,1,2,11
168,2034,"MH;MNA",0,0,4,0,0,0,0,1,1,0,0,0,1,2,11
169,123,"AMI;IOL;S",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
170,124,"AMILAOS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
171,125,"AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,126,"AMRA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
173,127,"AMTA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
174,128,"AMTA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
175,129,"AMT;",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
176,130,"AN",0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
177,130,"AND;N",0,0,9,1,0,0,0,0,0,0,0,0,0,6,0
178,131,"ANA",0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
179,132,"ANAS;IROS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
180,133,"ANDRAOS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
181,134,"ANDRON;XOS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
182,135,"ANOW",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
183,136,"ANK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,136,"TNKTA",1,0,4,0,1,0,0,2,0,0,0,0,0,0,4
185,2040,"ANY;OC;",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
186,137,"ANY;OC;A",0,0,12,0,2,0,0,0,0,0,0,0,0,0,0
187,138,"ANY;OC;",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
188,139,"ANY;CR;SYOS",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
189,140,"ANY;IYRS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
190,141,"AN;S",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
191,142,"ANNXA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
192,143,"ANOS;A",0,0,4,0,0,0,0,0,1,5,4,0,3,2,1
1,1,"AAR",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,2,"ABA",0,0,4,0,0,0,0,0,1,2,0,0,2,1,0
3,2,"ABHOTA",0,0,4,0,0,0,1,0,1,2,0,0,2,1,0
4,3,"ABA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
5,4,"ABD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,"ABDNA",0,0,4,0,4,0,0,0,1,0,0,0,1,2,1
7,4,"AB;DA",0,0,1,0,0,0,0,0,1,4,0,0,2,2,1
8,5,"ABOBA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
9,6,"AB;A",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
10,7,"AB;A",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
11,8,"AB;OD",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
12,9,"AB;L;NA",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
13,10,"AB;TR",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
14,11,"AB;LA",0,0,1,0,0,0,0,0,1,4,0,0,2,2,1
15,11,"ABL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11,"ABLA",0,0,4,0,0,0,0,0,3,0,0,0,1,2,1
17,12,"ABNA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
18,13,"ABRHM",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
19,14,"AGBOS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
