"keyWord","keyLexeme","strWord","strVocalised","keySeyame","keyListingType","keyEnclitic","keyIsLexeme","keySuffixGender","keySuffixPerson","keySuffixNumber","keySuffixContraction","keyPrefix","keyGender","keyPerson","keyNumber","keyState","keyTense","keyForm"
1,1,"AAR","AoAaR",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2,1,"BAAR","B'oAAaR",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
3,1,"DAAR","D'oAAaR",0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
4,1,"DLAAR","D'LoAAaR",0,0,0,0,0,0,0,0,8,1,0,1,0,0,0
5,1,"OAAR","OoAAaR",0,0,0,0,0,0,0,0,3,1,0,1,0,0,0
6,2,"ABA","AaB,oA",0,0,0,1,0,0,0,0,0,2,0,1,3,0,0
7,2,"ABHA","AaB,oHeA",1,0,0,0,0,0,0,0,0,2,0,2,3,0,0
8,2,"ABHOH;","AaB,oHaOH_;",1,0,0,0,1,1,0,1,0,2,0,2,3,0,0
9,2,"ABH;H","AaB,oHe;H",1,0,0,0,2,1,0,1,0,2,0,2,3,0,0
10,2,"ABH;HON","AaB,oHa;HuON",1,0,0,0,1,1,1,1,0,2,0,2,3,0,0
11,2,"ABH;CON","AaB,oHa;C'uON",1,0,0,0,1,2,1,1,0,2,0,2,3,0,0
12,2,"ABH;N","AaB,oHa;N",1,0,0,0,0,3,1,1,0,2,0,2,3,0,0
13,2,"ABHTA","AaB,oHoT,oA",1,0,0,0,0,0,0,0,0,2,0,2,3,0,0
14,2,"ABHTHON","AaB,oHoT,HuON",1,0,0,0,1,1,1,1,0,2,0,2,3,0,0
15,2,"ABHT;","AaB,oHoT,;",1,0,0,0,0,3,0,1,0,2,0,2,3,0,0
16,2,"ABHTCON","AaB,oHoT,C,uON",1,0,0,0,1,2,1,1,0,2,0,2,3,0,0
17,2,"ABHTN","AaB,oHoT,aN",1,0,0,0,0,3,1,1,0,2,0,2,3,0,0
18,2,"ABOH","AaB,uOH",0,0,0,0,2,1,0,1,0,2,0,1,3,0,0
19,2,"ABOHON","AaB,uOHuON",0,0,0,0,1,1,1,1,0,2,0,1,3,0,0
20,2,"ABOH;","AaB,uOH_;",0,0,0,0,1,1,0,1,0,2,0,1,3,0,0
21,2,"ABOC","AaB,uOC,",0,0,0,0,1,2,0,1,0,2,0,1,3,0,0
22,2,"ABOCON","AaB,uOC,uON",0,0,0,0,1,2,1,1,0,2,0,1,3,0,0
23,2,"ABON","AaB,uON",0,0,0,0,0,3,1,1,0,2,0,1,3,0,0
24,2,"AB;","AoB,;",0,0,0,0,0,3,0,1,0,2,0,1,3,0,0
25,2,"ABA","AaB,aA",0,0,0,0,0,0,0,0,0,2,0,1,3,0,0
26,2,"BABA","B'aAB,oA",0,0,0,0,0,0,0,0,1,2,0,1,3,0,0
27,2,"BAB;","B'oAB,;",0,0,0,0,0,3,0,1,1,2,0,1,3,0,0
28,2,"DABA","D'aAB,oA",0,0,0,0,0,0,0,0,2,2,0,1,3,0,0
29,2,"DABHA","D'aAB,oHeA",1,0,0,0,0,0,0,0,2,2,0,2,3,0,0
30,2,"DABH;","D'aAB,oHa;",1,0,0,0,0,3,0,1,2,2,0,2,3,0,0
31,2,"DABH;C","D'aAB,oHa;C'",1,0,0,0,1,2,0,1,2,2,0,2,3,0,0
32,2,"DABH;CON","D'aAB,oHa;C'uON",1,0,0,0,1,2,1,1,2,2,0,2,3,0,0
33,2,"DABH;N","D'aAB,oHa;N",1,0,0,0,0,3,1,1,2,2,0,2,3,0,0
34,2,"DABHTA","D'aAB,oHoT,oA",1,0,0,0,0,0,0,0,2,2,0,2,3,0,0
35,2,"DABHTN","D'aAB,oHoT,aN",1,0,0,0,0,3,1,1,2,2,0,2,3,0,0
36,2,"DABOHON","D'aAB,uOHuON",0,0,0,0,1,1,1,1,2,2,0,1,3,0,0
37,2,"DABOH;","D'aAB,uOH_;",0,0,0,0,1,1,0,1,2,2,0,1,3,0,0
38,2,"DABOCON","D'aAB,uOC,uON",0,0,0,0,1,2,1,1,2,2,0,1,3,0,0
39,2,"DABON","D'aAB,uON",0,0,0,0,0,3,1,1,2,2,0,1,3,0,0
40,2,"DAB;","D'oAB,;",0,0,0,0,0,3,0,1,2,2,0,1,3,0,0
41,2,"DLABA","D'LaAB,oA",0,0,0,0,0,0,0,0,8,2,0,1,3,0,0
42,2,"DLABH;HON","D'LaAB,oHa;HuON",1,0,0,0,1,1,1,1,8,2,0,2,3,0,0
43,2,"OABA","OaAB,oA",0,0,0,0,0,0,0,0,3,2,0,1,3,0,0
44,2,"OABHTA","OaAB,oHoT,oA",1,0,0,0,0,0,0,0,3,2,0,2,3,0,0
45,2,"OABHTN","OaAB,oHoT,aN",1,0,0,0,0,3,1,1,3,2,0,2,3,0,0
46,2,"OABOH;","OaAB,uOH_;",0,0,0,0,1,1,0,1,3,2,0,1,3,0,0
47,2,"OABOC","OaAB,uOC,",0,0,0,0,1,2,0,1,3,2,0,1,3,0,0
48,2,"OABOCON","OaAB,uOC,uON",0,0,0,0,1,2,1,1,3,2,0,1,3,0,0
49,2,"OAB;","OoAB,;",0,0,0,0,0,3,0,1,3,2,0,1,3,0,0
50,2,"OLABA","OLaAB,oA",0,0,0,0,0,0,0,0,11,2,0,1,3,0,0
51,2,"OLABOH","OLaAB,uOH",0,0,0,0,2,1,0,1,11,2,0,1,3,0,0
52,2,"OLABOHON","OLaAB,uOHuON",0,0,0,0,1,1,1,1,11,2,0,1,3,0,0
53,2,"LABA","LaAB,oA",0,0,0,0,0,0,0,0,4,2,0,1,3,0,0
54,2,"LABHA","LaAB,oHeA",1,0,0,0,0,0,0,0,4,2,0,2,3,0,0
55,2,"LABHOH;","LaAB,oHaOH_;",1,0,0,0,1,1,0,1,4,2,0,2,3,0,0
56,2,"LABH;HON","LaAB,oHa;HuON",1,0,0,0,1,1,1,1,4,2,0,2,3,0,0
57,2,"LABH;CON","LaAB,oHa;C'uON",1,0,0,0,1,2,1,1,4,2,0,2,3,0,0
58,2,"LABHTN","LaAB,oHoT,aN",1,0,0,0,0,3,1,1,4,2,0,2,3,0,0
59,2,"LABOH","LaAB,uOH",0,0,0,0,2,1,0,1,4,2,0,1,3,0,0
60,2,"LABOH;","LaAB,uOH_;",0,0,0,0,1,1,0,1,4,2,0,1,3,0,0
61,2,"LABOH;N","LaAB,uOHe;N",0,0,0,0,2,1,1,1,4,2,0,1,3,0,0
62,2,"LABOC","LaAB,uOC,",0,0,0,0,1,2,0,1,4,2,0,1,3,0,0
63,2,"LABOCON","LaAB,uOC,uON",0,0,0,0,1,2,1,1,4,2,0,1,3,0,0
64,2,"LABON","LaAB,uON",0,0,0,0,0,3,1,1,4,2,0,1,3,0,0
65,2,"LAB;","LoAB,;",0,0,0,0,0,3,0,1,4,2,0,1,3,0,0
66,3,"ABHOTA","AaB,oHuOT,oA",0,0,0,1,0,0,0,0,0,3,0,1,3,0,0
67,4,"ABHON","AeB'HuON",0,0,0,0,1,1,1,1,0,2,0,1,3,0,0
68,4,"OABC;","OeAB'eC,;",0,0,0,0,2,2,0,1,3,2,0,1,3,0,0
69,4,"ABA","AeB'oA",0,0,0,1,0,0,0,0,0,2,0,1,3,0,0
70,5,"ABD","AoB,eD,",0,0,0,0,0,0,0,0,0,2,1,1,0,5,1
71,5,"ABD","AeB,aD,",0,0,0,1,0,0,0,0,0,2,1,1,0,1,1
72,5,"ABDA","AoB,D'oA",0,0,0,0,0,0,0,0,0,3,1,1,0,5,1
73,5,"ABDO","AeB,aD,O",0,0,0,0,0,0,0,0,0,2,1,2,0,1,1
74,5,"ABD;N","AoB,D'i;N",0,0,0,0,0,0,0,0,0,2,1,2,0,5,1
75,5,"ABD;NN","AoB,D'i;NaN",0,0,0,0,0,3,1,2,0,2,3,2,0,5,1
76,5,"ABDN","AoB,D'oN",1,0,0,0,0,0,0,0,0,3,1,2,0,5,1
77,5,"ABDT","AeB,D'aT,",0,0,0,0,0,0,0,0,0,3,1,1,0,1,1
78,5,"AOBD","AaOB'eD,",0,0,0,0,0,0,0,0,0,2,1,1,0,1,5
79,5,"AOBD","AaOB'eD,",0,0,0,0,0,0,0,0,0,1,3,1,0,2,5
80,5,"AOBDT","AaOB'D,eT,",0,0,0,0,0,0,0,0,0,1,3,1,0,1,5
81,5,"DABD","D'eAB,aD,",0,0,0,0,0,0,0,0,2,2,1,1,0,1,1
82,5,"DABDA","D'oAB,D'oA",0,0,0,0,0,0,0,0,2,3,1,1,0,5,1
83,5,"DABDO","D'eAB,aD,O",0,0,0,0,0,0,0,0,2,2,1,2,0,1,1
84,5,"DABD;N","D'oAB,D'i;N",0,0,0,0,0,0,0,0,2,2,1,2,0,5,1
85,5,"DAOBD","D'aAOB'eD,",0,0,0,0,0,0,0,0,2,1,3,1,0,2,5
86,5,"DNABD","D'NiAB,aD,",0,0,0,0,0,0,0,0,2,2,1,1,0,2,1
87,5,"DNOBD","D'NaOB'eD,",0,0,0,0,0,0,0,0,2,2,1,1,0,2,5
88,5,"DNOBDON","D'NaOB'D,uON",0,0,0,0,0,0,0,0,2,2,1,2,0,2,5
89,5,"DNOBDON;H;","D'NaOB'D,uONo;H_;",0,0,0,0,1,1,0,1,2,2,1,2,0,2,5
90,5,"DNOBD;OH;","D'NaOB'D,i;OH_;",0,0,0,0,1,1,0,1,2,2,1,1,0,2,5
91,5,"DTOBD;OH;","D'T,aOB'D,i;OH_;",0,0,0,0,1,1,0,1,2,3,1,1,0,2,5
92,5,"OABD","OoAB,eD,",0,0,0,0,0,0,0,0,3,2,1,1,0,5,1
93,5,"OABD","OeAB,aD,",0,0,0,0,0,0,0,0,3,2,1,1,0,1,1
94,5,"OABDO","OeAB,aD,O",0,0,0,0,0,0,0,0,3,2,1,2,0,1,1
95,5,"OAOBD","OaAOB'eD,",0,0,0,0,0,0,0,0,3,2,1,1,0,1,5
96,5,"OAOBDO","OaAOB'eD,O",0,0,0,0,0,0,0,0,3,2,1,2,0,1,5
97,5,"ODNOBD","OaD,NaOB'eD,",0,0,0,0,0,0,0,0,10,2,1,1,0,2,5
98,5,"ONOBD","ONaOB'eD,",0,0,0,0,0,0,0,0,3,2,1,1,0,2,5
99,5,"OTOBD","OT,aOB'eD,",0,0,0,0,0,0,0,0,3,3,1,1,0,2,5
100,5,"LMOBDO","LMaOB'oD,uO",0,0,0,0,0,0,0,0,4,0,0,0,0,4,5
101,5,"LMOBDOTH","LMaOB'oD,uOT,eH",0,0,0,0,1,1,0,1,4,0,0,0,0,4,5
102,5,"LMOBDOTN","LMaOB'oD,uOT,aN",0,0,0,0,0,3,1,1,4,0,0,0,0,4,5
103,5,"MOBD","MaOB'eD,",0,0,0,0,0,0,0,0,0,2,1,1,0,5,5
104,5,"NABD","NiAB,aD,",0,0,0,0,0,0,0,0,0,2,1,1,0,2,1
105,5,"NABDON","NiAB,D'uON",0,0,0,0,0,0,0,0,0,2,1,2,0,2,1
